Report Title: student wireless,,,,,,,,,,
Generated: Jun-01-2022, 11:28:12 EDT,,,,,,,,,
Report By:SSID,,,,,,,,,,
SSID: PASD-Student,,,,,,,,,,
Connection Protocol: All Wireless (802.11),,,,,,,,,,
Reporting Period:Last 4 Weeks,,,,,,,,,,
 ,,,,,,,,,,
Unique Clients,,,,,,,,,,
Last Association Time,User,MAC Address,Vendor,IP Address,AP Name,802.11 State,SSID,Profile,Protocol,AP Map Location
Tue May 31 13:10:10 EDT 2022,host/22-B20-HKJ8YZ2.pasdphantoms.net,08:d2:3e:cd:09:dd,Unknown,10.111.25.2,PAHS-AUDITORIUM-02,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 14:10:33 EDT 2022,host/22-B21-HYJ2103.pasdphantoms.net,a8:7e:ea:77:4c:14,Unknown,10.111.17.32,PAHS-B10.aecc,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),System Campus > High School > HS 1st Floor
Tue May 31 14:45:46 EDT 2022,host/22-B24-7XJ2103.pasdphantoms.net,8c:c6:81:30:11:73,Unknown,10.111.25.28,PAHS-D15.91a4,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 10:39:11 EDT 2022,host/22-B25-2SJ2103.pasdphantoms.net,8c:c6:81:32:c4:77,Unknown,10.111.25.41,PAHS-H13.fc0c,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 07:49:26 EDT 2022,host/22-B26-HSJ2103.pasdphantoms.net,8c:c6:81:32:c4:c7,Unknown,10.111.24.100,PAHS-GYM2.1104,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:15:39 EDT 2022,host/22-B32-BC53103.pasdphantoms.net,8c:c6:81:30:92:d8,Unknown,10.181.16.53,DAO-TECH.9184,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > DAO > 2nd Floor
Wed Jun 01 11:00:33 EDT 2022,host/22-B44-CF63103.pasdphantoms.net,a8:7e:ea:7c:67:44,Unknown,10.111.16.146,PAHS-E3.03C2,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 09:55:07 EDT 2022,host/22-B48-JK63103.pasdphantoms.net,8c:c6:81:03:bd:f8,Unknown,10.111.24.199,PAHS-H5.C0E4,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 08:04:30 EDT 2022,host/22-C01-5QH2103.pasdphantoms.net,8c:c6:81:34:10:5c,Unknown,10.111.24.125,PAHS-CAFE-01.8f58,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 08:24:33 EDT 2022,host/22-C04-HT53103.pasdphantoms.net,8c:c6:81:36:b7:08,Unknown,10.111.25.73,PAHS-H1.2640,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 10:05:11 EDT 2022,host/22-C06-CQ63103.pasdphantoms.net,8c:c6:81:33:77:41,Unknown,10.111.16.190,PAHS-E1.0FA2,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 08:44:38 EDT 2022,host/22-C15-5RH2103.pasdphantoms.net,8c:c6:81:32:09:b0,Unknown,10.111.25.77,PAHS-G6.C1F0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:45:27 EDT 2022,host/22-C16-DQ63103.pasdphantoms.net,8c:c6:81:33:26:29,Unknown,10.111.25.53,PAHS-F5.AFB8,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:35:23 EDT 2022,host/22-C19-4NJ2103.pasdphantoms.net,a8:7e:ea:77:c1:b2,Unknown,10.111.16.66,PAHS-D6.9250,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 12:04:46 EDT 2022,host/22-C27-JR63103.pasdphantoms.net,8c:c6:81:33:77:32,Unknown,10.111.24.215,PAHS-D3.0EF2,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
